"filename", "language", "TypeScript", "JSON with Comments", "Less", "SCSS", "JSON", "vue", "HTML", "Markdown", "Python", "XML", "SQL", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\frontend\src\hooks\useState.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19
"d:\vscode\test\Apartment-Recommend-System\frontend\src\main.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 24
"d:\vscode\test\Apartment-Recommend-System\frontend\src\manifest.json", "JSON", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 8, 3, 83
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages.json", "JSON", 0, 0, 0, 0, 342, 0, 0, 0, 0, 0, 0, 1, 34, 377
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Appointment\AppointmentDetail.vue", "vue", 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 7, 270
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Appointment\AppointmentPage.vue", "vue", 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 10, 165
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Booking.vue", "vue", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 4, 81
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\CaseDetail.vue", "vue", 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 3, 171
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Collection.vue", "vue", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 6, 70
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\History.vue", "vue", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 3, 85
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\HouseDetail.vue", "vue", 0, 0, 0, 0, 0, 509, 0, 0, 0, 0, 0, 0, 19, 528
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\HouseSearch\Search.vue", "vue", 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 16, 299
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Lease.vue", "vue", 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 1, 7, 226
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Location.vue", "vue", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 10, 114
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\PostDetail.vue", "vue", 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 19, 233
